Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,null
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,Treyarch,M,null
Pokemon X/Pokemon Y,3DS,2013,Role Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,null
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,Treyarch,M,null
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,Treyarch,M,null
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,Infinity Ward,M,null
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,Infinity Ward  Sledgehammer Games,M,null
Grand Theft Auto III,PS2,2001,Action,Take Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,DMA Design,M,null
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts,T,null
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,Retro Studios  Entertainment Analysis & Development Division,E,null
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,Treyarch,M,null
Grand Theft Auto V,PS4,2014,Action,Take Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M,null
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,E,null
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,Bungie Software  Bungie,M,null
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,null
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,null
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,null
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,E,null
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo,E,null
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,null
Grand Theft Auto IV,X360,2008,Action,Take Two Interactive,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,Rockstar North,M,null
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E,null
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,E,null
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,E,null
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,Infinity Ward,M,null
Super Mario All Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,null
Grand Theft Auto IV,PS3,2008,Action,Take Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M,null
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,null
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,null
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,Infinity Ward,M,null
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0,1.06,10.12,74,15,7.8,16,Ubisoft,E10+,null
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,Nintendo,E,null
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,null
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,Bungie,M,null
Final Fantasy VII,PS,1997,Role Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T,null
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,343 Industries,M,null
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T,null
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,Ubisoft,E10+,null
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,Infinity Ward,M,null
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,Infinity Ward,M,null
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,,,,,,,null
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,null
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,E,null
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft,E,null
The Elder Scrolls V: Skyrim,X360,2011,Role Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Bethesda Game Studios,M,null
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,null
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E,null
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Bungie Software,M,null
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,E,null
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Hudson,E,null
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,Electronic Arts,E,null
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,null
Pokemon Black 2/Pokemon White 2,DS,2012,Role Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,null
Final Fantasy X,PS2,2001,Role Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,T,null
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,7.6,886,The Sims Studio,T,null
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,null
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,null
Final Fantasy VIII,PS,1999,Role Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T,null
Pac Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,,,,,,null
Pokémon Platinum Version,DS,2008,Role Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak,E,null
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Rockstar Leeds,M,null
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M,null
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,null
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,EA Sports  EA Vancouver,E,null
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,null
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,null
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E,null
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,null
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,null
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38,84,84,7.6,580,Treyarch,M,null
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,EA DICE,M,null
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,EA Black Box,E,null
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,8,110,Ubisoft Paris,E10+,null
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,EA DICE,M,null
Fallout 4,PS4,2015,Role Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M,null
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T,null
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T,null
Pokemon Sun/Moon,3DS,2016,Role Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,,null
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E,null
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E,null
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,HAL Labs,T,null
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,,null
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,E,null
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,EA LA,T,null
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,,null
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,7.3,28,Ubisoft,E10+,null
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Epic Games,M,null
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,Naughty Dog,T,null
Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0,0.66,6.71,,,0,,Pipeworks Software  Inc.,E,null
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,Infinity Ward,M,null
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,Naughty Dog,T,null
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,null
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E,null
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,,null
Red Dead Redemption,PS3,2010,Action,Take Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,M,null
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,EA Canada,E,null
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M,null
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios,E,null
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,Bungie Software,M,null
The Elder Scrolls V: Skyrim,PS3,2011,Role Playing,Bethesda Softworks,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,Bethesda Game Studios,M,null
Pokémon Emerald Version,GBA,2004,Role Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak,E,null
Kingdom Hearts,PS2,2002,Role Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E,null
Pokémon Crystal Version,GB,2000,Role Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,,null
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,Bungie Software  Bungie,M,null
Red Dead Redemption,X360,2010,Action,Take Two Interactive,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,Rockstar San Diego,M,null
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo,E,null
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,,null
World of Warcraft,PC,2004,Role Playing,Activision,0.08,6.21,0,0,6.29,93,57,7.3,2182,Blizzard Entertainment,T,null
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,T,null
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,Epic Games,M,null
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,Rare Ltd.,E10+,null
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,M,null
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E,null
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,KCEJ,M,null
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,,null
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M,null
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions,M,null
Final Fantasy XII,PS2,2006,Role Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T,null
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,M,null
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,SCE/WWS  Media Molecule,E,null
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M,null
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Level 5,E10+,null
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T,null
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,Bungie Software  Bungie,T,null
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Traveller's Tales,E10+,null
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E,null
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,,null
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,,null
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M,null
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,M,null
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Turn 10,E,null
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,E,null
Monster Hunter Freedom Unite,PSP,2008,Role Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,T,null
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios,T,null
Grand Theft Auto V,XOne,2014,Action,Take Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M,null
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems,E,null
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,,null
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,,null
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales,E,null
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,M,null
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T,null
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,,,,,,,null
Final Fantasy XIII,PS3,2009,Role Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,T,null
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,,null
Final Fantasy IX,PS,2000,Role Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T,null
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M,null
Final Fantasy X 2,PS2,2003,Role Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T,null
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,,null
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M,null
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0,0.87,5.26,,,,,,,null
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,M,null
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T,null
Madden NFL 2004,PS2,1990,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,E,null
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,,,null
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E,null
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,T,null
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,,,null
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,E,null
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,,,null
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,E,null
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,,null
Diablo III,PC,2012,Role Playing,Activision,2.44,2.16,0,0.54,5.14,88,86,4,9629,Blizzard Entertainment,M,null
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,EA LA,T,null
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,,,null
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,,,,,,,null
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T,null
Fable III,X360,2010,Role Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Lionhead Studios,M,null
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,,null
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,M,null
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E,null
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,,,,,,,null
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,E,null
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M,null
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M,null
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T,null
